profile_id,retention_fraction,minimum_keep,feasible,condition_pass_count,condition_count,condition__recall_macro,condition__recall_pooled,condition__recall_each_cell,condition__candidate_count_reduced,condition__matched_a2_recall_noninferior,condition__matched_a2_p_lb_improved,condition__matched_a2_mrr_noninferior,recall_macro,recall_min,recall_pooled,selected_count_mean,selected_count_ratio,p_lb_macro,mrr_macro,matched_a2_recall_delta,matched_a2_p_lb_delta,matched_a2_mrr_delta
balanced,0.75,8,False,3,7,True,True,False,True,False,False,False,0.9745454545454546,0.8181818181818182,0.9746031746031746,18.05,0.76,0.8541666666666666,0.9745454545454546,-0.004999999999999893,-0.004166666666666763,-0.004999999999999893
balanced,0.75,12,False,4,7,True,True,True,True,False,False,False,0.9881818181818183,0.9,0.9841269841269841,18.35,0.7726315789473684,0.8416666666666666,0.9881818181818183,-0.004999999999999893,-0.004166666666666874,-0.004999999999999893
balanced,0.8,8,False,4,7,True,True,True,True,False,False,False,0.9906818181818181,0.9090909090909091,0.9904761904761905,19.35,0.8147368421052632,0.813921760890431,0.9894318181818182,-0.0025000000000000577,-0.0019230769230769162,-0.00374999999999992
balanced,0.8,12,False,4,7,True,True,True,True,False,False,False,0.9952272727272728,0.95,0.9936507936507937,19.5,0.8210526315789474,0.8055884275570977,0.9939772727272727,-0.0024999999999998357,-0.0019230769230768052,-0.003750000000000031
balanced,0.85,8,False,5,7,True,True,True,True,True,False,False,1.0,1.0,1.0,20.7,0.871578947368421,0.7697566754312278,0.9974999999999999,0.0,0.0,-0.0025000000000000577
balanced,0.85,12,False,5,7,True,True,True,True,True,False,False,1.0,1.0,1.0,20.75,0.8736842105263158,0.7655900087645612,0.9974999999999999,0.0,0.0,-0.0025000000000000577
balanced,0.9,8,False,4,7,True,True,True,False,True,False,False,1.0,1.0,1.0,21.7,0.9136842105263158,0.7337361776391882,0.9974999999999999,0.0,0.0,-0.0025000000000000577
balanced,0.9,12,False,4,7,True,True,True,False,True,False,False,1.0,1.0,1.0,21.75,0.9157894736842105,0.7295695109725215,0.9974999999999999,0.0,0.0,-0.0025000000000000577
conservative,0.75,8,False,3,7,True,True,False,True,False,False,False,0.9770454545454544,0.8181818181818182,0.9777777777777777,18.05,0.76,0.85625,0.9770454545454544,-0.0025000000000000577,-0.002083333333333437,-0.0025000000000000577
conservative,0.75,12,False,4,7,True,True,True,True,False,False,False,0.9906818181818181,0.9090909090909091,0.9873015873015873,18.35,0.7726315789473684,0.84375,0.9906818181818181,-0.0025000000000000577,-0.002083333333333437,-0.0025000000000000577
conservative,0.8,8,False,4,7,True,True,True,True,False,False,False,0.9906818181818181,0.9090909090909091,0.9904761904761905,19.35,0.8147368421052632,0.813921760890431,0.9906818181818181,-0.0025000000000000577,-0.0019230769230769162,-0.0025000000000000577
conservative,0.8,12,False,4,7,True,True,True,True,False,False,False,0.9952272727272728,0.95,0.9936507936507937,19.5,0.8210526315789474,0.8055884275570977,0.9952272727272728,-0.0024999999999998357,-0.0019230769230768052,-0.0024999999999998357
conservative,0.85,8,False,5,7,True,True,True,True,True,False,False,1.0,1.0,1.0,20.7,0.871578947368421,0.7697566754312278,0.99875,0.0,0.0,-0.0012499999999999734
conservative,0.85,12,False,5,7,True,True,True,True,True,False,False,1.0,1.0,1.0,20.75,0.8736842105263158,0.7655900087645612,0.99875,0.0,0.0,-0.0012499999999999734
conservative,0.9,8,False,4,7,True,True,True,False,True,False,False,1.0,1.0,1.0,21.7,0.9136842105263158,0.7337361776391882,0.99875,0.0,0.0,-0.0012499999999999734
conservative,0.9,12,False,4,7,True,True,True,False,True,False,False,1.0,1.0,1.0,21.75,0.9157894736842105,0.7295695109725215,0.99875,0.0,0.0,-0.0012499999999999734
evidence_heavy,0.75,8,False,3,7,True,True,False,True,False,False,False,0.9745454545454546,0.8181818181818182,0.9746031746031746,18.05,0.76,0.8541666666666666,0.9745454545454546,-0.004999999999999893,-0.004166666666666763,-0.004999999999999893
evidence_heavy,0.75,12,False,4,7,True,True,True,True,False,False,False,0.9881818181818183,0.9,0.9841269841269841,18.35,0.7726315789473684,0.8416666666666666,0.9881818181818183,-0.004999999999999893,-0.004166666666666874,-0.004999999999999893
evidence_heavy,0.8,8,False,4,7,True,True,True,True,False,False,False,0.9906818181818181,0.9090909090909091,0.9904761904761905,19.35,0.8147368421052632,0.813921760890431,0.9894318181818182,-0.0025000000000000577,-0.0019230769230769162,-0.00374999999999992
evidence_heavy,0.8,12,False,4,7,True,True,True,True,False,False,False,0.9952272727272728,0.95,0.9936507936507937,19.5,0.8210526315789474,0.8055884275570977,0.9939772727272727,-0.0024999999999998357,-0.0019230769230768052,-0.003750000000000031
evidence_heavy,0.85,8,False,4,7,True,True,True,True,False,False,False,0.9974999999999999,0.95,0.9968253968253968,20.7,0.871578947368421,0.7679709611455137,0.9962500000000001,-0.0025000000000000577,-0.0017857142857141683,-0.00374999999999992
evidence_heavy,0.85,12,False,4,7,True,True,True,True,False,False,False,0.9974999999999999,0.95,0.9968253968253968,20.75,0.8736842105263158,0.7638042944788469,0.9962500000000001,-0.0025000000000000577,-0.0017857142857142794,-0.00374999999999992
evidence_heavy,0.9,8,False,3,7,True,True,True,False,False,False,False,0.9974999999999999,0.95,0.9968253968253968,21.7,0.9136842105263158,0.7320120397081538,0.9962500000000001,-0.0025000000000000577,-0.0017241379310344307,-0.00374999999999992
evidence_heavy,0.9,12,False,3,7,True,True,True,False,False,False,False,0.9974999999999999,0.95,0.9968253968253968,21.75,0.9157894736842105,0.7278453730414871,0.9962500000000001,-0.0025000000000000577,-0.0017241379310344307,-0.00374999999999992
