cell_id,case,fault,role,seed,mask_id,mask_ratio,selected_count,target_count,recovered_target_count,recall,silver_matched_count,silver_precision_lower_bound,false_edge_rate_upper_bound,mrr,ranks
b92fae28271fa9faf11f7ca0,re2tt_ts-travel-service_socket_3,socket,heldout,47,iid20_l2_s47,0.2,12,10,10,1.0,10,0.8333333333333334,0.16666666666666663,1.0,"[1,1,1,1,1,1,1,1,1,1]"
bef0c6cc90d72266fe41ce25,re2tt_ts-travel-service_socket_3,socket,heldout,23,iid20_l2_s23,0.2,12,10,10,1.0,10,0.8333333333333334,0.16666666666666663,1.0,"[1,1,1,1,1,1,1,1,1,1]"
c29fcc80200386967ea21974,re2tt_ts-order-service_disk_3,disk,heldout,31,iid40_l2_s31,0.4,10,8,8,1.0,8,0.8,0.19999999999999996,1.0,"[1,1,1,1,1,1,1,1]"
c51e761c98f5df7240260f0e,re2tt_ts-auth-service_delay_3,delay,heldout,23,iid40_l2_s23,0.4,28,21,21,1.0,21,0.75,0.25,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
c87a47af86b389b2bcb72711,re2tt_ts-auth-service_delay_3,delay,heldout,11,iid40_l2_s11,0.4,28,21,21,1.0,21,0.75,0.25,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
c933596c254032f208f44248,re2tt_ts-train-service_loss_3,loss,heldout,17,iid40_l2_s17,0.4,21,22,21,0.9545454545454546,21,1.0,0.0,0.9545454545454546,"[1,1,1,1,1,1,null,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
cba63fe84fdf6bba7d2acbbd,re2tt_ts-travel-service_socket_3,socket,heldout,17,iid20_l2_s17,0.2,10,10,10,1.0,10,1.0,0.0,1.0,"[1,1,1,1,1,1,1,1,1,1]"
d5afc1c6029bf90ac321a2fb,re2tt_ts-travel-service_socket_3,socket,heldout,47,iid40_l2_s47,0.4,24,21,21,1.0,21,0.875,0.125,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
de75126514b46f34b618d451,re2tt_ts-train-service_loss_3,loss,heldout,47,iid20_l2_s47,0.2,12,11,11,1.0,11,0.9166666666666666,0.08333333333333337,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
e4b9d3eb3fe421d86c450daa,re2tt_ts-order-service_disk_3,disk,heldout,23,iid40_l2_s23,0.4,9,8,8,1.0,8,0.8888888888888888,0.11111111111111116,1.0,"[1,1,1,1,1,1,1,1]"
ec82995b5f1c8578025691c2,re2tt_ts-train-service_loss_3,loss,heldout,23,iid40_l2_s23,0.4,23,22,21,0.9545454545454546,21,0.9130434782608695,0.08695652173913049,0.9545454545454546,"[1,1,1,1,1,1,1,1,1,1,1,1,1,null,1,1,1,1,1,1,1,1]"
f3028cca5af0e5b9e9ea86c5,re2tt_ts-travel-service_socket_3,socket,heldout,11,iid40_l2_s11,0.4,28,21,21,1.0,21,0.75,0.25,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
f8f16aa45c846b7f4d28698c,re2tt_ts-order-service_disk_3,disk,heldout,11,iid40_l2_s11,0.4,8,8,8,1.0,8,1.0,0.0,1.0,"[1,1,1,1,1,1,1,1]"
fdea0eb0cb1efa7db35de3e7,re2tt_ts-order-service_disk_3,disk,heldout,11,iid20_l2_s11,0.2,5,4,4,1.0,4,0.8,0.19999999999999996,1.0,"[1,1,1,1]"
