variant,cell_count,recall_macro,recall_min,recall_pooled,selected_count_mean,selected_count_median,selected_count_max,silver_precision_lower_bound_macro,silver_precision_lower_bound_min,false_edge_rate_upper_bound_macro,mrr_macro,mrr_min
prior_only,40,0.9977272727272727,0.9545454545454546,0.9962962962962963,17.025,14.0,28,0.8079278782811391,0.4782608695652174,0.1920721217188609,0.9977272727272727,0.9545454545454546
no_negative,40,0.9977272727272727,0.9545454545454546,0.9962962962962963,17.025,14.0,28,0.8079278782811391,0.4782608695652174,0.1920721217188609,0.9971320346320347,0.9545454545454546
no_operation,40,0.9943181818181819,0.9090909090909091,0.9907407407407407,17.025,14.0,28,0.8048830064862674,0.4782608695652174,0.19511699351373257,0.9943181818181819,0.9090909090909091
no_structure,40,0.9977272727272727,0.9545454545454546,0.9962962962962963,17.025,14.0,28,0.8079278782811391,0.4782608695652174,0.1920721217188609,0.9977272727272727,0.9545454545454546
permuted_evidence,40,0.9362797619047619,0.75,0.9333333333333333,17.025,14.0,28,0.7562705561346866,0.45454545454545453,0.24372944386531337,0.9128179112554113,0.75
