case,fault,role,seed,mask_id,mask_ratio,selected_count,target_count,recovered_target_count,recall,silver_matched_count,silver_precision_lower_bound,mrr,ranks,state_counts
re2tt_ts-train-service_loss_3,loss,heldout,17,iid40_l2_s17,0.4,21,22,21,0.9545454545454546,21,1.0,0.9545454545454546,"[1, 1, 1, 1, 1, 1, 1, 1, None, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 21}"
re2tt_ts-train-service_loss_3,loss,heldout,23,iid20_l2_s23,0.2,11,11,11,1.0,11,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 11}"
re2tt_ts-train-service_loss_3,loss,heldout,23,iid40_l2_s23,0.4,23,22,21,0.9545454545454546,21,0.9130434782608695,0.9545454545454546,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, None, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 23}"
re2tt_ts-train-service_loss_3,loss,heldout,31,iid20_l2_s31,0.2,12,11,11,1.0,11,0.9166666666666666,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 12}"
re2tt_ts-train-service_loss_3,loss,heldout,31,iid40_l2_s31,0.4,23,22,22,1.0,22,0.9565217391304348,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 23}"
re2tt_ts-train-service_loss_3,loss,heldout,47,iid20_l2_s47,0.2,12,11,11,1.0,11,0.9166666666666666,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 12}"
re2tt_ts-train-service_loss_3,loss,heldout,47,iid40_l2_s47,0.4,24,22,22,1.0,22,0.9166666666666666,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 1, 'contradicts': 23}"
re2tt_ts-travel-service_socket_3,socket,heldout,11,iid20_l2_s11,0.2,12,10,10,1.0,10,0.8333333333333334,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 12}"
re2tt_ts-travel-service_socket_3,socket,heldout,11,iid40_l2_s11,0.4,28,21,21,1.0,21,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 28}"
re2tt_ts-travel-service_socket_3,socket,heldout,17,iid20_l2_s17,0.2,10,10,10,1.0,10,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 10}"
re2tt_ts-travel-service_socket_3,socket,heldout,17,iid40_l2_s17,0.4,22,21,21,1.0,21,0.9545454545454546,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 22}"
re2tt_ts-travel-service_socket_3,socket,heldout,23,iid20_l2_s23,0.2,12,10,10,1.0,10,0.8333333333333334,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 12}"
re2tt_ts-travel-service_socket_3,socket,heldout,23,iid40_l2_s23,0.4,26,21,21,1.0,21,0.8076923076923077,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 26}"
re2tt_ts-travel-service_socket_3,socket,heldout,31,iid20_l2_s31,0.2,13,10,10,1.0,10,0.7692307692307693,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 13}"
re2tt_ts-travel-service_socket_3,socket,heldout,31,iid40_l2_s31,0.4,27,21,21,1.0,21,0.7777777777777778,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 27}"
re2tt_ts-travel-service_socket_3,socket,heldout,47,iid20_l2_s47,0.2,12,10,10,1.0,10,0.8333333333333334,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 12}"
re2tt_ts-travel-service_socket_3,socket,heldout,47,iid40_l2_s47,0.4,24,21,21,1.0,21,0.875,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 24}"
