retention_fraction,minimum_keep,nli_weight,recall_macro,recall_min,selected_count_mean,selected_count_max,silver_precision_lower_bound_macro,mrr_macro,matched_budget_recall_delta,matched_budget_p_lb_delta,matched_budget_mrr_delta,matched_budget_additive_gain,violation_count,feasible,selected,selection_status
0.85,8,0.05,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,True,DIAGNOSTIC_FALLBACK_NO_FEASIBLE_POLICY
0.85,8,0.1,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,8,0.2,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,8,0.3,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,10,0.05,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,10,0.1,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,10,0.2,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,10,0.3,1.0,1.0,20.7,28,0.7697566754312278,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,12,0.05,1.0,1.0,20.75,28,0.7655900087645612,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,12,0.1,1.0,1.0,20.75,28,0.7655900087645612,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,12,0.2,1.0,1.0,20.75,28,0.7655900087645612,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,12,0.3,1.0,1.0,20.75,28,0.7655900087645612,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,14,0.05,1.0,1.0,21.0,28,0.7494727926473451,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,14,0.1,1.0,1.0,21.0,28,0.7494727926473451,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,14,0.2,1.0,1.0,21.0,28,0.7494727926473451,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.85,14,0.3,1.0,1.0,21.0,28,0.7494727926473451,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,8,0.05,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,8,0.1,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,8,0.2,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,8,0.3,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,10,0.05,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,10,0.1,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,10,0.2,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,10,0.3,1.0,1.0,21.7,29,0.7337361776391882,1.0,0.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,12,0.05,1.0,1.0,21.75,29,0.7295695109725215,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,12,0.1,1.0,1.0,21.75,29,0.7295695109725215,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,12,0.2,1.0,1.0,21.75,29,0.7295695109725215,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,12,0.3,1.0,1.0,21.75,29,0.7295695109725215,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,14,0.05,1.0,1.0,21.85,29,0.7230218919249025,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,14,0.1,1.0,1.0,21.85,29,0.7230218919249025,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,14,0.2,20,1.0,1.0,1.0,21.85,29,0.7230218919249025,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.9,14,0.3,20,1.0,1.0,1.0,21.85,29,0.7230218919249025,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,8,0.05,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,8,0.1,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,8,0.2,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,8,0.3,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,10,0.05,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,10,0.1,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,10,0.2,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,10,0.3,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,12,0.05,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,12,0.1,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,12,0.2,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,12,0.3,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,14,0.05,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,14,0.1,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,14,0.2,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
0.95,14,0.3,20,1.0,1.0,1.0,23.1,31,0.688076804742764,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,8,0.05,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,8,0.1,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,8,0.2,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,8,0.3,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,10,0.05,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,10,0.1,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
